feature	Sample_1S3	Sample_1S6	Sample_1S9	Sample_1S12	Sample_1S15	Sample_1S18	Sample_1S21	Sample_1S24	Sample_4S2	Sample_4S5	Sample_4S8	Sample_4S11	Sample_4S14	Sample_4S17	Sample_4S20	Sample_4S23	Sample_N1	Sample_N7	Sample_N13	Sample_N19	Sample_N25	Sample_N31	Sample_N37	Sample_N43	Sample_2S1	Sample_2S4	Sample_2S7	Sample_2S10	Sample_2S13	Sample_2S16	Sample_2S19	Sample_2S22	Sample_4S3	Sample_4S6	Sample_4S9	Sample_4S12	Sample_4S15	Sample_4S18	Sample_4S21	Sample_4S24	Sample_N2	Sample_N8	Sample_N14	Sample_N20	Sample_N26	Sample_N32	Sample_N38	Sample_N44	Sample_2S2	Sample_2S5	Sample_2S8	Sample_2S11	Sample_2S14	Sample_2S17	Sample_2S20	Sample_2S23	Sample_N3	Sample_N9	Sample_N15	Sample_N21	Sample_N27	Sample_N33	Sample_N39	Sample_N45	Sample_PC1	Sample_PC7	Sample_PC13	Sample_PC18	Sample_PC21	Sample_PC27	Sample_PC31	Sample_PC36	Sample_2S3	Sample_2S6	Sample_2S9	Sample_2S12	Sample_2S15	Sample_2S18	Sample_2S21	Sample_2S24	Sample_N4	Sample_N10	Sample_N16	Sample_N22	Sample_N28	Sample_N34	Sample_N40	Sample_N46	Sample_Pan01	Sample_PC2	Sample_PC8	Sample_PC14	Sample_PC19	Sample_PC22	Sample_PC28	Sample_PC32	Sample_3S1	Sample_3S4	Sample_3S7	Sample_3S10	Sample_3S13	Sample_3S16	Sample_3S19	Sample_3S22	Sample_N5	Sample_N11	Sample_N17	Sample_N23	Sample_N29	Sample_N35	Sample_N41	Sample_N47	Sample_Pan02	Sample_PC3	Sample_PC9	Sample_PC15	Sample_PC20	Sample_PC23	Sample_PC29	Sample_PC33	Sample_2S25	Sample_3S2	Sample_3S5	Sample_3S8	Sample_3S11	Sample_3S14	Sample_3S17	Sample_3S20	Sample_3S23	Sample_N6	Sample_N12	Sample_N18	Sample_N24	Sample_N30	Sample_N36	Sample_N42	Sample_N48	Sample_Pan03	Sample_PC4	Sample_PC10	Sample_PC16	Sample_PC24	Sample_PC30	Sample_PC34	Sample_1S1	Sample_1S4	Sample_1S7	Sample_1S10	Sample_1S13	Sample_1S16	Sample_1S19	Sample_1S22	Sample_3S3	Sample_3S6	Sample_3S9	Sample_3S12	Sample_3S15	Sample_3S18	Sample_3S21	Sample_3S24	Sample_3S25	Sample_N50	Sample_Pan04	Sample_PC5	Sample_PC11	Sample_PC17	Sample_PC25	Sample_PC35	Sample_1S2	Sample_1S5	Sample_1S8	Sample_1S11	Sample_1S14	Sample_1S17	Sample_1S20	Sample_1S23	Sample_1S25	Sample_4S1	Sample_4S4	Sample_4S7	Sample_4S10	Sample_4S13	Sample_4S16	Sample_4S19	Sample_4S22	Sample_4S25	Sample_N49	Sample_Pan05	Sample_Pan06	Sample_PC6	Sample_PC12	Sample_PC26
hsa-let-7e-5p|miRNA|hsa-let-7e-5p|hsa-let-7e-5p|hsa-let-7e-5p|0|22	638	1157	447	381	594	347	756	1043	1244	1659	710	1035	620	1012	690	1048	1014	1000	787	1005	872	618	928	761	889	536	673	521	919	605	419	853	226	1223	1046	555	726	238	1033	813	858	538	781	906	898	1281	689	349	953	1065	1355	1522	965	2787	563	473	1103	1332	893	1084	859	754	1050	1080	877	351	822	1121	508	714	600	594	1974	1475	1300	422	655	774	666	1125	1052	1491	620	1152	1070	740	441	1174	288	1212	976	1045	1219	768	949	849	983	2545	685	2540	882	641	568	1009	1104	1854	1542	1024	977	468	873	942	295	865	1281	424	586	493	687	905	789	990	1678	350	937	527	1024	1338	1173	1999	1392	1045	1154	1150	541	622	1534	298	232	1325	981	564	886	978	538	1055	775	1243	1047	738	755	1799	767	979	1296	481	220	608	571	396	944	1103	209	307	1610	1105	757	615	976	1028	415	1067	1012	574	1831	760	1543	1082	1122	1054	454	763	1882	385	509	966	1176	284	255	541	1302	847
hsa-let-7f-1-3p|miRNA|hsa-let-7f-1-3p|hsa-let-7f-1-3p|hsa-let-7f-1-3p|0|22	33	80	31	18	81	25	82	97	87	95	166	93	55	85	47	83	83	42	75	77	95	72	81	78	67	30	28	39	109	55	38	93	16	47	77	18	52	16	113	62	55	14	68	81	88	94	58	32	61	70	105	115	111	161	68	42	44	58	53	97	108	52	99	88	54	32	81	86	68	91	85	51	113	100	62	20	74	76	55	108	64	85	52	76	113	50	31	108	31	89	68	91	81	79	98	79	43	86	45	82	111	67	80	90	38	81	86	65	140	49	63	116	38	87	72	37	77	71	94	110	51	103	59	15	69	53	84	128	126	151	66	44	70	121	80	68	91	33	18	66	70	50	91	157	36	58	42	77	131	62	52	88	35	71	71	10	29	50	41	35	88	105	16	17	112	97	69	67	45	59	39	73	88	41	110	45	137	63	79	96	30	85	129	41	68	94	118	34	37	30	83	95
hsa-let-7f-2-3p|miRNA|hsa-let-7f-2-3p|hsa-let-7f-2-3p|hsa-let-7f-2-3p|0|22	64	86	73	63	145	41	100	140	155	86	141	140	111	127	89	130	102	75	96	95	212	88	103	90	112	48	81	50	160	94	69	111	42	67	144	38	103	55	139	81	90	39	71	126	182	141	78	37	95	99	142	150	169	315	146	95	72	103	104	133	164	112	155	117	124	40	141	156	146	230	161	108	145	119	94	39	118	141	94	199	126	114	105	111	238	97	55	113	48	169	112	127	156	165	169	188	84	129	75	83	192	103	107	166	55	128	123	123	179	70	118	117	42	123	102	81	69	105	130	192	76	140	87	28	87	51	170	181	150	180	111	89	87	189	106	103	183	47	22	117	155	91	127	152	65	78	114	95	188	97	108	115	61	91	149	21	42	131	100	41	208	113	42	41	194	178	137	115	113	88	64	115	130	77	286	92	141	118	94	163	41	155	154	58	111	142	128	33	45	98	127	192
hsa-let-7f-5p|miRNA|hsa-let-7f-5p|hsa-let-7f-5p|hsa-let-7f-5p|0|22	969	3340	836	809	2025	814	2479	3534	2832	3635	6678	1933	1975	3304	2054	3544	1992	2250	2557	2409	2781	2401	1532	2237	2340	1352	1500	1116	3729	2241	970	2481	360	2952	2996	737	2159	674	3014	1750	1508	883	1499	2945	3832	3532	1478	539	2775	2266	3335	2974	2770	8571	1857	724	1858	2842	2359	3434	3873	1695	2646	2504	1661	664	1793	3212	1768	2571	1701	931	4006	3455	3024	583	2439	3673	1271	3950	2209	3257	2271	3768	3401	2414	550	2737	855	3121	2439	2353	2290	2380	2434	2489	1832	16514	1244	6321	3690	1597	1645	3060	1478	3613	4014	2840	3421	1395	2138	2488	834	2616	2738	760	1142	1854	1824	2717	1174	2073	2736	462	1579	1167	3859	4095	3654	5953	2575	1911	2263	3942	2261	1579	3386	651	182	3056	1659	1029	2492	3037	1117	2034	1731	2316	3274	2663	1562	3048	1476	2646	3257	969	517	2146	1475	657	3134	2554	387	405	3979	2383	2569	1537	2069	2365	871	2488	3032	995	4248	1360	3876	2437	3799	2383	480	2697	5644	743	1039	3711	3854	818	764	1033	2755	2499
hsa-let-7g-3p|miRNA|hsa-let-7g-3p|hsa-let-7g-3p|hsa-let-7g-3p|0|21	40	21	23	41	14	18	23	46	29	22	38	56	18	25	32	36	34	42	28	30	24	14	33	22	33	11	27	47	23	21	42	31	34	36	34	42	32	33	32	41	33	45	15	21	18	16	22	31	32	41	26	59	24	32	55	40	30	40	27	40	20	44	32	49	53	40	50	62	29	44	39	44	40	34	41	48	32	38	32	37	37	39	29	34	33	27	53	31	11	36	32	48	45	24	36	36	58	54	39	52	34	30	27	39	33	61	44	27	28	32	34	30	16	47	44	51	36	31	42	34	65	46	40	44	37	29	32	33	41	62	33	39	35	29	25	52	41	13	62	30	45	30	20	33	41	26	50	27	28	37	40	32	49	24	45	58	42	44	30	35	33	35	14	59	47	49	29	33	34	46	22	34	27	33	41	45	43	32	29	50	53	23	46	42	38	33	40	10	13	38	35	34
hsa-let-7g-5p|miRNA|hsa-let-7g-5p|hsa-let-7g-5p|hsa-let-7g-5p|0|22	5468	9254	5320	4373	8233	4241	9875	12749	10242	9031	18122	8746	9152	11206	9411	10987	9466	7744	10444	8405	13312	9267	8875	8538	8411	4064	7272	4678	13091	8133	5120	11091	2352	7196	10489	3276	9489	4393	12069	8213	8103	4126	7108	11595	14761	13150	7792	3394	9581	8209	12972	11527	11998	28446	10606	5235	7520	9114	8930	13928	13168	8982	12198	10750	7943	2840	10213	13240	8811	12695	10085	5873	12821	9092	10123	3563	11007	12405	7376	15657	9042	11361	8950	10656	15563	8557	4172	11437	4352	13034	8602	11261	9206	10632	12391	12581	6766	23066	5789	12629	14293	8706	7786	13084	6260	11911	12708	9847	15255	6952	10289	9982	3675	9933	8882	5654	5085	8629	9177	12450	5403	9088	9249	2517	7676	5261	13036	14926	14060	20123	10402	8082	10016	15209	9481	8025	14397	3634	1587	7240	9363	6022	11059	14265	4888	7666	8477	9034	14143	9692	8643	10753	5658	7918	11955	3166	3479	9449	7630	4210	13373	9442	2370	2699	14286	12529	11131	8326	8097	7864	4942	10059	12200	5226	22822	7985	11397	8751	9157	10713	3457	10980	16409	5342	6169	12814	13265	3315	4166	5403	10498	11976
hsa-let-7i-3p|miRNA|hsa-let-7i-3p|hsa-let-7i-3p|hsa-let-7i-3p|0|22	530	400	486	747	243	324	290	477	480	381	725	831	279	376	377	428	487	474	444	457	438	250	386	338	556	282	487	587	434	306	461	437	618	458	685	495	390	438	446	527	574	441	364	533	348	499	425	321	721	655	450	842	511	592	550	553	485	540	469	626	407	490	571	502	755	497	1016	863	516	575	490	561	777	520	640	729	381	479	558	613	618	662	504	578	538	347	549	487	204	747	584	726	671	449	656	579	907	670	482	814	645	547	575	539	666	791	588	677	479	393	535	487	196	795	605	887	597	544	495	475	737	736	731	401	623	399	505	516	584	897	652	672	635	467	369	633	674	270	627	535	827	515	493	506	521	544	641	377	489	450	452	498	635	423	819	686	305	556	442	439	572	569	222	635	725	845	506	372	611	576	508	567	428	488	609	672	599	733	458	714	677	440	587	515	454	487	618	221	202	727	569	532
hsa-let-7i-5p|miRNA|hsa-let-7i-5p|hsa-let-7i-5p|hsa-let-7i-5p|0|22	79926	71818	76000	82625	48079	53283	66904	113220	74435	54366	162147	81842	55571	91671	93787	110768	71785	68474	88011	63341	85844	59294	93856	86900	90208	34985	77470	62476	82849	56734	85187	84114	58629	59369	89284	55071	86885	70147	117100	99841	76775	60231	63421	78478	89755	117784	99860	74406	88476	73864	86133	124216	90936	323005	102087	87792	67543	86244	65339	96535	81264	116091	121193	128848	103348	41037	100540	137883	84741	104280	87118	134484	107801	73692	92000	50745	77519	93556	118153	151048	74670	104999	76954	90532	117736	69199	127770	116840	31394	99422	68900	112831	104668	83670	118249	99622	86800	116452	70333	124132	120761	90488	86405	108748	70050	105399	96953	85567	89389	64512	139376	88500	26745	81389	75193	79174	53064	72197	77829	94086	78938	90299	86283	39970	74207	104140	97577	122282	106115	146984	94897	86651	154255	100301	76456	124743	174368	38519	74242	71682	156770	91766	101307	102423	60760	62843	89010	81268	120122	96171	117596	115604	60724	59215	116632	77183	50315	117762	111990	77696	107674	85160	29860	70798	115150	123080	99697	73116	79286	78447	51070	85974	75486	105278	334990	98886	96340	94089	66952	97392	63643	71147	149367	85767	77396	88136	87581	30631	31037	80634	93629	160988
hsa-miR-1-3p|miRNA|hsa-miR-1-3p|hsa-miR-1-3p|hsa-miR-1-3p|0|22	47	85	57	30	82	49	101	138	115	183	64	43	101	153	85	192	66	67	73	58	138	69	85	91	56	27	78	37	144	95	65	88	22	139	83	32	122	54	128	93	95	28	50	104	201	249	70	30	84	78	120	110	125	423	105	32	118	92	81	120	154	85	164	97	54	31	72	143	61	138	75	50	181	75	125	24	159	91	82	175	103	101	93	77	233	106	35	125	35	123	74	103	77	98	120	98	50	337	28	239	145	77	77	133	73	147	125	76	200	65	113	94	33	80	90	37	42	68	84	169	40	67	114	21	56	54	147	232	116	170	82	89	95	218	92	85	139	33	4	94	78	74	107	116	21	71	71	50	179	96	102	163	49	65	81	48	35	71	94	27	129	81	21	13	128	98	94	75	65	66	38	93	139	65	336	81	130	80	75	85	19	116	415	55	47	128	109	20	31	28	114	109
hsa-miR-1-5p|miRNA|hsa-miR-1-5p|hsa-miR-1-5p|hsa-miR-1-5p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-3p|miRNA|hsa-miR-100-3p|hsa-miR-100-3p|hsa-miR-100-3p|0|22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
